=== Courses offered for BTech CSE(core) ===


## University Elective

| Sl.No. | Basket Title | Course Code | Course Title | Course Type | Credits |
| 229 | University Elective Basket of B.Tech. CSE - 2021 | LAW1108 | Business Law | TH | 3.0 |
| 230 | University Elective Basket of B.Tech. CSE - 2021 | LAW2001 | Business and Human Rights | TH | 3.0 |
| 231 | University Elective Basket of B.Tech. CSE - 2021 | LIB1001 | Anthropology - An Introduction | TH | 3.0 |
| 232 | University Elective Basket of B.Tech. CSE - 2021 | LIB1007 | Gender Studies - An Introduction | TH | 2.0 |
| 233 | University Elective Basket of B.Tech. CSE - 2021 | LIB1012 | Campus Fiction in India : An Introduction | TH | 3.0 |
| 234 | University Elective Basket of B.Tech. CSE - 2021 | LIB1013 | Introduction to Comics and Graphic Narratives | TH | 3.0 |
| 235 | University Elective Basket of B.Tech. CSE - 2021 | LIB1014 | Pursuit of Happiness | TH | 3.0 |
| 236 | University Elective Basket of B.Tech. CSE - 2021 | LIB1016 | Theory of Performance and Practice | TH | 4.0 |
| 237 | University Elective Basket of B.Tech. CSE - 2021 | LIB1019 | Dynamics of Gender Psychology | TH | 3.0 |
| 238 | University Elective Basket of B.Tech. CSE - 2021 | LIB1020 | Basic Psychology for Engineers | TH | 3.0 |
| 239 | University Elective Basket of B.Tech. CSE - 2021 | LIB2003 | Geography of Asia and Sub-Saharan Africa | TH | 3.0 |
| 240 | University Elective Basket of B.Tech. CSE - 2021 | LIB2004 | Ancient Indian History | TH | 4.0 |
| 241 | University Elective Basket of B.Tech. CSE - 2021 | LIB2005 | Digital Storytelling | TH | 4.0 |
| 242 | University Elective Basket of B.Tech. CSE - 2021 | LIB2006 | Critical Thinking and Formal Logic | TH | 3.0 |
| 243 | University Elective Basket of B.Tech. CSE - 2021 | LIB2007 | The Aesthetics of Performing Arts | TH | 4.0 |
| 244 | University Elective Basket of B.Tech. CSE - 2021 | LIB2010 | Food & Literature | TH | 3.0 |
| 245 | University Elective Basket of B.Tech. CSE - 2021 | LIB2015 | Design Psychology | TH | 3.0 |
| 246 | University Elective Basket of B.Tech. CSE - 2021 | LIB3001 | Applications of Moral Philosophy | TH | 3.0 |
| 247 | University Elective Basket of B.Tech. CSE - 2021 | MAT1018 | Computational Linear Algebra: Learning from Data | ETP | 4.0 |
| 248 | University Elective Basket of B.Tech. CSE - 2021 | MAT1021 | Statistics for Economists | TH | 4.0 |
| 249 | University Elective Basket of B.Tech. CSE - 2021 | MAT2001 | Numerical Methods for Engineers | ETL | 3.0 |
| 250 | University Elective Basket of B.Tech. CSE - 2021 | MAT2002 | Complex Variables and Partial Differential Equations | TH | 3.0 |
| 251 | University Elective Basket of B.Tech. CSE - 2021 | MAT2003 | Optimization Techniques | ETL | 4.0 |
| 252 | University Elective Basket of B.Tech. CSE - 2021 | MAT2005 | Linear Algebra | TH | 3.0 |
| 253 | University Elective Basket of B.Tech. CSE - 2021 | MAT2011 | Graph Theory and Applications | TH | 3.0 |
| 254 | University Elective Basket of B.Tech. CSE - 2021 | MAT2013 | Financial Mathematics | TH | 4.0 |
| 255 | University Elective Basket of B.Tech. CSE - 2021 | MAT2014 | Nonlinear Dynamics and Chaos | TH | 4.0 |
| 256 | University Elective Basket of B.Tech. CSE - 2021 | MAT2016 | Transforms and Wavelets | TH | 4.0 |
| 257 | University Elective Basket of B.Tech. CSE - 2021 | MEC1006 | Introduction to Robotics | TH | 3.0 |
| 258 | University Elective Basket of B.Tech. CSE - 2021 | MEC1008 | Engineering Mechanics | TH | 4.0 |
| 259 | University Elective Basket of B.Tech. CSE - 2021 | MEC2002 | Thermodynamics | TH | 4.0 |
| 260 | University Elective Basket of B.Tech. CSE - 2021 | MEC2021 | Mechatronics | TH | 4.0 |
| 261 | University Elective Basket of B.Tech. CSE - 2021 | MEC3002 | Theory of Machines | ETL | 4.0 |
| 262 | University Elective Basket of B.Tech. CSE - 2021 | MEC3026 | Robot Kinematics | TH | 4.0 |
| 263 | University Elective Basket of B.Tech. CSE - 2021 | MEC3029 | Machining Processes and Workshop Technology | ETL | 4.0 |
| 264 | University Elective Basket of B.Tech. CSE - 2021 | MEC4003 | Internal Combustion Engines | ETL | 4.0 |
| 265 | University Elective Basket of B.Tech. CSE - 2021 | MGT1002 | Lean Start-up Management | TH | 3.0 |
| 266 | University Elective Basket of B.Tech. CSE - 2021 | MGT1007 | Economics for Engineers | TH | 3.0 |
| 267 | University Elective Basket of B.Tech. CSE - 2021 | MGT1014 | Fundamentals of Brand Management | TH | 3.0 |
| 268 | University Elective Basket of B.Tech. CSE - 2021 | MGT1015 | Fundamentals of Consumer Behaviour | TH | 3.0 |
| 269 | University Elective Basket of B.Tech. CSE - 2021 | MGT1026 | Basics of Investment Analysis and Portfolio Management | TH | 3.0 |
| 270 | University Elective Basket of B.Tech. CSE - 2021 | MGT1029 | Basic Law for Engineers | TH | 3.0 |
| 271 | University Elective Basket of B.Tech. CSE - 2021 | MGT1036 | Introduction to Macroeconomics | TH | 3.0 |
| 272 | University Elective Basket of B.Tech. CSE - 2021 | MGT1042 | Financial and Management Accounting | ETP | 4.0 |
| 273 | University Elective Basket of B.Tech. CSE - 2021 | MGT1103 | Microeconomics | ETP | 4.0 |
| 274 | University Elective Basket of B.Tech. CSE - 2021 | MGT1109 | Management Accounting | TH | 3.0 |
| 275 | University Elective Basket of B.Tech. CSE - 2021 | MGT2006 | Fundamentals of Financial Management | ETP | 4.0 |
| 276 | University Elective Basket of B.Tech. CSE - 2021 | MGT2014 | Fundamentals of Marketing Management | TH | 3.0 |
| 277 | University Elective Basket of B.Tech. CSE - 2021 | MGT2016 | Essentials of Marketing Management | TH | 4.0 |
| 278 | University Elective Basket of B.Tech. CSE - 2021 | MGT2023 | Impact Evaluation | TH | 4.0 |
| 279 | University Elective Basket of B.Tech. CSE - 2021 | MGT3004 | Fundamentals of Operations and Supply Chain Management | ETP | 4.0 |
| 280 | University Elective Basket of B.Tech. CSE - 2021 | ONL1001 | Problem Solving Through Programming in C | OC | 2.0 |
| 281 | University Elective Basket of B.Tech. CSE - 2021 | ONL1002 | Introduction to Soft Computing | OC | 2.0 |
| 282 | University Elective Basket of B.Tech. CSE - 2021 | ONL1003 | Introduction to Computer Application | TH | 4.0 |
| 283 | University Elective Basket of B.Tech. CSE - 2021 | ONL1004 | Programming in R | TH | 4.0 |
| 284 | University Elective Basket of B.Tech. CSE - 2021 | ONL1005 | Principles of Programming | TH | 4.0 |
| 285 | University Elective Basket of B.Tech. CSE - 2021 | ONL1006 | Legal Aspects of Business | TH | 4.0 |
| 286 | University Elective Basket of B.Tech. CSE - 2021 | ONL1007 | Knowledge Management | TH | 4.0 |
| 287 | University Elective Basket of B.Tech. CSE - 2021 | ONL1008 | The Joy of Computing using Python | OC | 2.0 |
| 288 | University Elective Basket of B.Tech. CSE - 2021 | ONL1009 | Innovation by Design | OC | 1.0 |
| 289 | University Elective Basket of B.Tech. CSE - 2021 | ONL1010 | Understanding Design | OC | 1.0 |
| 290 | University Elective Basket of B.Tech. CSE - 2021 | ONL1011 | Decision-Making Under Uncertainity | OC | 1.0 |
| 291 | University Elective Basket of B.Tech. CSE - 2021 | ONL1012 | Body Language: Key to Professional Success | OC | 1.0 |
| 292 | University Elective Basket of B.Tech. CSE - 2021 | ONL1013 | Algebra - I | OC | 3.0 |
| 293 | University Elective Basket of B.Tech. CSE - 2021 | ONL1014 | A Basic Course in Number Theory | OC | 3.0 |
| 294 | University Elective Basket of B.Tech. CSE - 2021 | ONL1015 | Solid State Physics | OC | 3.0 |
| 295 | University Elective Basket of B.Tech. CSE - 2021 | ONL1016 | Short Fiction in Indian Literature | OC | 3.0 |
| 296 | University Elective Basket of B.Tech. CSE - 2021 | ONL1017 | Feminist Writings | OC | 3.0 |
| 297 | University Elective Basket of B.Tech. CSE - 2021 | ONL1018 | Principles of Management | OC | 3.0 |
| 298 | University Elective Basket of B.Tech. CSE - 2021 | ONL1019 | Entrepreneurship and IP Strategy | OC | 2.0 |
| 299 | University Elective Basket of B.Tech. CSE - 2021 | ONL1020 | Developing Soft Skills and Personality | OC | 2.0 |
| 300 | University Elective Basket of B.Tech. CSE - 2021 | ONL1021 | Film Appreciation | OC | 2.0 |
| 301 | University Elective Basket of B.Tech. CSE - 2021 | ONL1022 | Ecology and Society | OC | 3.0 |
| 302 | University Elective Basket of B.Tech. CSE - 2021 | ONL1023 | Cognition, Transformation and Lives | OC | 1.0 |
| 303 | University Elective Basket of B.Tech. CSE - 2021 | ONL1024 | Design Thinking - A Primer | OC | 1.0 |
| 304 | University Elective Basket of B.Tech. CSE - 2021 | ONL1025 | Knowledge Management | OC | 3.0 |
| 305 | University Elective Basket of B.Tech. CSE - 2021 | ONL1026 | Gender Justice and Workplace Security | OC | 1.0 |
| 306 | University Elective Basket of B.Tech. CSE - 2021 | ONL1028 | Managerial Economics | OC | 3.0 |
| 307 | University Elective Basket of B.Tech. CSE - 2021 | ONL1029 | Stress Management | OC | 1.0 |
| 308 | University Elective Basket of B.Tech. CSE - 2021 | ONL1031 | Workshop - Decision Making Under Uncertainity | OC | 1.0 |
| 309 | University Elective Basket of B.Tech. CSE - 2021 | ONL1038 | Data Analytics with Python | OC | 3.0 |
| 310 | University Elective Basket of B.Tech. CSE - 2021 | ONL2001 | Introduction to Internet of Things | OC | 2.0 |
| 311 | University Elective Basket of B.Tech. CSE - 2021 | ONL2002 | Blockchain Architecture, Design and Use Cases | OC | 2.0 |
| 312 | University Elective Basket of B.Tech. CSE - 2021 | ONL2003 | Introduction to Machine Learning | OC | 2.0 |
| 313 | University Elective Basket of B.Tech. CSE - 2021 | ONL2004 | Modern Digital Communication Techniques | OC | 2.0 |
| 314 | University Elective Basket of B.Tech. CSE - 2021 | ONL2005 | Statistical Data Analytics for Business Research | TH | 4.0 |
| 315 | University Elective Basket of B.Tech. CSE - 2021 | ONL2006 | Accounting and Financial Management | TH | 4.0 |
| 316 | University Elective Basket of B.Tech. CSE - 2021 | ONL2007 | Essentials of Machine Learning | TH | 4.0 |
| 317 | University Elective Basket of B.Tech. CSE - 2021 | ONL2008 | Operating Systems | TH | 3.0 |
| 318 | University Elective Basket of B.Tech. CSE - 2021 | ONL2009 | Logistics and Supply Chain Management | TH | 4.0 |
| 319 | University Elective Basket of B.Tech. CSE - 2021 | ONL2010 | Introduction to Bio-Inspired Design | OC | 1.0 |
| 320 | University Elective Basket of B.Tech. CSE - 2021 | ONL2011 | Machine Learning using Python | TH | 3.0 |
| 321 | University Elective Basket of B.Tech. CSE - 2021 | ONL2012 | Marketing Management | OC | 4.0 |
| 322 | University Elective Basket of B.Tech. CSE - 2021 | ONL2013 | Social Networks | OC | 2.0 |
| 323 | University Elective Basket of B.Tech. CSE - 2021 | ONL2014 | Mathematical Portfolio Theory | OC | 3.0 |
| 324 | University Elective Basket of B.Tech. CSE - 2021 | ONL2015 | Integral Transforms and their Applications | OC | 3.0 |
| 325 | University Elective Basket of B.Tech. CSE - 2021 | ONL2016 | Computational Number Theory and Algebra | OC | 3.0 |
| 326 | University Elective Basket of B.Tech. CSE - 2021 | ONL2017 | Mathematical Finance | OC | 3.0 |
| 327 | University Elective Basket of B.Tech. CSE - 2021 | ONL2018 | Co-ordination Chemistry (Chemistry of Transition Elements) | OC | 3.0 |
| 328 | University Elective Basket of B.Tech. CSE - 2021 | ONL2019 | Introduction to Chemical Thermodynamics and Kinetics | OC | 3.0 |
| 329 | University Elective Basket of B.Tech. CSE - 2021 | ONL2020 | Computational Physics | OC | 3.0 |
| 330 | University Elective Basket of B.Tech. CSE - 2021 | ONL2021 | Text, Textuality and Digital Media | OC | 3.0 |
| 331 | University Elective Basket of B.Tech. CSE - 2021 | ONL2022 | Regression Analysis | OC | 3.0 |
| 332 | University Elective Basket of B.Tech. CSE - 2021 | ONL2023 | Consumer Psychology | OC | 2.0 |
| 333 | University Elective Basket of B.Tech. CSE - 2021 | ONL2024 | Gender and Literature | OC | 2.0 |
| 334 | University Elective Basket of B.Tech. CSE - 2021 | ONL2025 | Introduction to Western Political Thought | OC | 3.0 |
| 335 | University Elective Basket of B.Tech. CSE - 2021 | ONL2026 | Classical Sociological Theory | OC | 3.0 |
| 336 | University Elective Basket of B.Tech. CSE - 2021 | ONL2027 | Elements of Visual Representation | OC | 2.0 |
| 337 | University Elective Basket of B.Tech. CSE - 2021 | ONL2028 | Science, Technology and Society | OC | 3.0 |
| 338 | University Elective Basket of B.Tech. CSE - 2021 | ONL2029 | Sociological Perspectives on Modernity | OC | 3.0 |
| 339 | University Elective Basket of B.Tech. CSE - 2021 | ONL2030 | Constitutional Studies | OC | 3.0 |
| 340 | University Elective Basket of B.Tech. CSE - 2021 | ONL2031 | Marketing Research and Analysis | OC | 2.0 |
| 341 | University Elective Basket of B.Tech. CSE - 2021 | ONL2032 | Linear System Theory | OC | 3.0 |
| 342 | University Elective Basket of B.Tech. CSE - 2021 | ONL2037 | Getting Started with Competitive Programming | OC | 3.0 |
| 343 | University Elective Basket of B.Tech. CSE - 2021 | ONL2038 | Programming in Modern C++ | OC | 3.0 |
| 344 | University Elective Basket of B.Tech. CSE - 2021 | ONL2040 | Cyber Security and Privacy | OC | 3.0 |
| 345 | University Elective Basket of B.Tech. CSE - 2021 | ONL2041 | Design & Implementation of Human-Computer Interfaces | OC | 3.0 |
| 346 | University Elective Basket of B.Tech. CSE - 2021 | ONL2042 | Ethical Hacking | OC | 3.0 |
| 347 | University Elective Basket of B.Tech. CSE - 2021 | ONL2043 | Responsible & Safe AI Systems | OC | 3.0 |
| 348 | University Elective Basket of B.Tech. CSE - 2021 | ONL2044 | Secure Computation: Part II | OC | 3.0 |
| 349 | University Elective Basket of B.Tech. CSE - 2021 | ONL2045 | Statistical Learning for Reliability Analysis | OC | 3.0 |
| 350 | University Elective Basket of B.Tech. CSE - 2021 | ONL2046 | Google Cloud Computing Foundations | OC | 2.0 |
| 351 | University Elective Basket of B.Tech. CSE - 2021 | ONL2047 | Big Data Computing | OC | 2.0 |
| 352 | University Elective Basket of B.Tech. CSE - 2021 | ONL2048 | Data Science for Engineers | OC | 2.0 |
| 353 | University Elective Basket of B.Tech. CSE - 2021 | ONL2049 | Introduction to Quantum Computing: Quantum Algorithms and Qiskit | OC | 1.0 |
| 354 | University Elective Basket of B.Tech. CSE - 2021 | ONL2050 | Artificial Intelligence: Knowledge Representation And Reasoning | OC | 3.0 |
| 355 | University Elective Basket of B.Tech. CSE - 2021 | ONL3001 | Mathematical Methods and Techniques in Signal Processing | OC | 2.0 |
| 356 | University Elective Basket of B.Tech. CSE - 2021 | ONL3002 | Industrial Automation and Control | OC | 2.0 |
| 357 | University Elective Basket of B.Tech. CSE - 2021 | ONL3003 | Computer Networks | TH | 3.0 |
| 358 | University Elective Basket of B.Tech. CSE - 2021 | ONL3004 | Data Warehousing and Data Mining | TH | 3.0 |
| 359 | University Elective Basket of B.Tech. CSE - 2021 | ONL3005 | Artificial Intelligence for Beginners | OC | 3.0 |
| 360 | University Elective Basket of B.Tech. CSE - 2021 | ONL3006 | Elements of Network Simulation | OC | 2.0 |
| 361 | University Elective Basket of B.Tech. CSE - 2021 | ONL3007 | IoT Design and Applications | OC | 3.0 |
| 362 | University Elective Basket of B.Tech. CSE - 2021 | ONL3008 | International Business | OC | 3.0 |
| 363 | University Elective Basket of B.Tech. CSE - 2021 | ONL3009 | Project Management for Managers | OC | 3.0 |
| 364 | University Elective Basket of B.Tech. CSE - 2021 | ONL3010 | Quantum Chemistry of Atoms and Molecules | OC | 3.0 |
| 365 | University Elective Basket of B.Tech. CSE - 2021 | ONL3011 | Solar Photovoltaics : Fundamentals, Technology and Applications | OC | 2.0 |
| 366 | University Elective Basket of B.Tech. CSE - 2021 | ONL3012 | Semiconductor Optoelectronics | OC | 3.0 |
| 367 | University Elective Basket of B.Tech. CSE - 2021 | ONL3013 | Dynamical System and Control | OC | 3.0 |
| 368 | University Elective Basket of B.Tech. CSE - 2021 | ONL3014 | Introduction to Fuzzy Set Theory, Arithmetic and Logic | OC | 3.0 |
| 369 | University Elective Basket of B.Tech. CSE - 2021 | ONL3020 | Privacy and Security in Online Social Media | OC | 3.0 |
| 370 | University Elective Basket of B.Tech. CSE - 2021 | ONL3021 | Affective Computing | OC | 3.0 |
| 371 | University Elective Basket of B.Tech. CSE - 2021 | ONL3022 | Advanced R Programming for Data Analytics in Business | OC | 3.0 |
| 372 | University Elective Basket of B.Tech. CSE - 2021 | ONL3023 | Advanced Distributed Systems | OC | 3.0 |
| 373 | University Elective Basket of B.Tech. CSE - 2021 | ONL3024 | Artificial Intelligence : Search Methods For Problem solving | OC | 3.0 |
| 374 | University Elective Basket of B.Tech. CSE - 2021 | ONL3025 | Getting Started with Competitive Programming | OC | 3.0 |
| 375 | University Elective Basket of B.Tech. CSE - 2021 | ONL3026 | Distributed Optimization and Machine Learning | OC | 3.0 |
| 376 | University Elective Basket of B.Tech. CSE - 2021 | ONL3027 | Introduction to Industry 4.0 and Industrial Internet of Things | OC | 3.0 |
| 377 | University Elective Basket of B.Tech. CSE - 2021 | ONL3028 | Practical Cyber Security for Cyber Security Practitioners | OC | 3.0 |
| 378 | University Elective Basket of B.Tech. CSE - 2021 | ONL3029 | Demystifying Networking | OC | 1.0 |
| 379 | University Elective Basket of B.Tech. CSE - 2021 | ONL3030 | Software Conceptual Design | OC | 1.0 |
| 380 | University Elective Basket of B.Tech. CSE - 2021 | ONL3032 | Deep Learning | OC | 3.0 |
| 381 | University Elective Basket of B.Tech. CSE - 2021 | ONL3033 | Foundation of Cloud IoT Edge ML | OC | 2.0 |
| 382 | University Elective Basket of B.Tech. CSE - 2021 | ONL3034 | Machine Learning | OC | 2.0 |
| 383 | University Elective Basket of B.Tech. CSE - 2021 | ONL3035 | Machine Learning for Engineering and Science Applications | OC | 3.0 |
| 384 | University Elective Basket of B.Tech. CSE - 2021 | ONL3039 | GPU Architectures and Programming | OC | 3.0 |
| 385 | University Elective Basket of B.Tech. CSE - 2021 | ONL3041 | Artificial Intelligence and Machine Learning in Materials Engineering | OC | 3.0 |
| 386 | University Elective Basket of B.Tech. CSE - 2021 | ONL4001 | Optimization Techniques for Digital VLSI Design | OC | 2.0 |
| 387 | University Elective Basket of B.Tech. CSE - 2021 | ONL4002 | Randomized Algorithms | OC | 2.0 |
| 388 | University Elective Basket of B.Tech. CSE - 2021 | ONL4003 | Compiler Design | OC | 2.0 |
| 389 | University Elective Basket of B.Tech. CSE - 2021 | ONL4004 | Engineering Metrology | OC | 3.0 |
| 390 | University Elective Basket of B.Tech. CSE - 2021 | ONL4005 | DC Microgrid and Control System | OC | 2.0 |
| 391 | University Elective Basket of B.Tech. CSE - 2021 | ONL4008 | Applied Accelerated Artificial Intelligence | OC | 3.0 |
| 392 | University Elective Basket of B.Tech. CSE - 2021 | ONL4009 | Deep Learning for Computer Vision | OC | 3.0 |
| 393 | University Elective Basket of B.Tech. CSE - 2021 | ONL4010 | Artificial Intelligence for Economics | OC | 2.0 |
| 394 | University Elective Basket of B.Tech. CSE - 2021 | ONL4011 | AI:Constraint Satisfaction | OC | 2.0 |
| 395 | University Elective Basket of B.Tech. CSE - 2021 | ONL4012 | Deep Learning for Natural Language Processing | OC | 3.0 |
| 396 | University Elective Basket of B.Tech. CSE - 2021 | ONL4013 | Reinforcement Learning | OC | 3.0 |
| 397 | University Elective Basket of B.Tech. CSE - 2021 | ONL4014 | Blockchain and its Applications | OC | 3.0 |
| 398 | University Elective Basket of B.Tech. CSE - 2021 | ONL4015 | Design and Engineering of Computer Systems | OC | 2.0 |
| 399 | University Elective Basket of B.Tech. CSE - 2021 | ONL4018 | Cryptography and Network Security | OC | 3.0 |
| 400 | University Elective Basket of B.Tech. CSE - 2021 | ONL4020 | User-Centric Computing for Human-Computer Interaction | OC | 2.0 |
| 401 | University Elective Basket of B.Tech. CSE - 2021 | ONL4021 | Introduction to Large Language Models (LLMs) | OC | 3.0 |
| 402 | University Elective Basket of B.Tech. CSE - 2021 | PHY1002 | Semiconductor Device Physics | TH | 4.0 |
| 403 | University Elective Basket of B.Tech. CSE - 2021 | PHY1006 | Physics of Materials | ETL | 4.0 |
| 404 | University Elective Basket of B.Tech. CSE - 2021 | PHY2003 | Condensed Matter Physics | TH | 3.0 |
| 405 | University Elective Basket of B.Tech. CSE - 2021 | PHY2004 | Optoelectronics | TH | 3.0 |
| 406 | University Elective Basket of B.Tech. CSE - 2021 | PHY2005 | Introduction to Nanotechnology | TH | 3.0 |
| 407 | University Elective Basket of B.Tech. CSE - 2021 | PHY2006 | Solar Photovoltaics : Fundamentals and Technologies | TH | 3.0 |
| 408 | University Elective Basket of B.Tech. CSE - 2021 | STS3006 | Basic Competitive Coding - I | TH | 3.0 |
| 409 | University Elective Basket of B.Tech. CSE - 2021 | STS3007 | Advanced Competitive Coding - I | TH | 3.0 |
| 410 | University Elective Basket of B.Tech. CSE - 2021 | STS4005 | Basic Competitive Coding - II | TH | 3.0 |
| 411 | University Elective Basket of B.Tech. CSE - 2021 | STS4006 | Advanced Competitive Coding - II | TH | 3.0 |
| 412 | University Elective Basket of B.Tech. CSE - 2021 | SWE2008 | Object Oriented Analysis and Design | ETL | 4.0 |
| 413 | University Elective Basket of B.Tech. CSE - 2021 | TEC4001 | Technical Writing and Presentation | PJT | 1.0 |
