=== Courses offered for BTech CSE(core) ===


## University Elective

| Sl.No. | Basket Title | Course Code | Course Title | Course Type | Credits |
| 55 | University Elective Basket of B.Tech. CSE - 2021 | ENG3003 | Literature and Psychology | TH | 2.0 |
| 56 | University Elective Basket of B.Tech. CSE - 2021 | ENG3008 | Strategic Communication for Entrepreneurs | TH | 3.0 |
| 57 | University Elective Basket of B.Tech. CSE - 2021 | FRL1001 | Basic French | TH | 2.0 |
| 58 | University Elective Basket of B.Tech. CSE - 2021 | FRL1004 | Basic Spanish | TH | 2.0 |
| 59 | University Elective Basket of B.Tech. CSE - 2021 | FRL1005 | German for Beginners | TH | 2.0 |
| 60 | University Elective Basket of B.Tech. CSE - 2021 | FRL2003 | French for Engineers | TH | 3.0 |
| 61 | University Elective Basket of B.Tech. CSE - 2021 | FRL2004 | Korean for Beginners | TH | 2.0 |
| 62 | University Elective Basket of B.Tech. CSE - 2021 | FRL2005 | German for Advanced Learners | TH | 3.0 |
| 63 | University Elective Basket of B.Tech. CSE - 2021 | HUM1007 | Introduction to Digital Humanities : Doing Digital History | TH | 4.0 |
| 64 | University Elective Basket of B.Tech. CSE - 2021 | HUM1012 | Engineering Economics | TH | 3.0 |
| 65 | University Elective Basket of B.Tech. CSE - 2021 | HUM2001 | Banking and Financial Services | TH | 2.0 |
| 66 | University Elective Basket of B.Tech. CSE - 2021 | HUM2009 | Basic Econometrics | TH | 4.0 |
| 67 | University Elective Basket of B.Tech. CSE - 2021 | HUM2010 | Gender Economics | TH | 3.0 |
| 68 | University Elective Basket of B.Tech. CSE - 2021 | HUM2104 | Indian Economy : Problems and Policies | TH | 4.0 |
| 69 | University Elective Basket of B.Tech. CSE - 2021 | HUM3001 | Applied Econometrics | TH | 4.0 |
| 70 | University Elective Basket of B.Tech. CSE - 2021 | INC1001 | Juniper Networks - Introduction to the Junos Operating System | PJT | 2.0 |
| 71 | University Elective Basket of B.Tech. CSE - 2021 | INC1002 | Juniper Networks - Introduction to Juniper Security | PJT | 2.0 |
| 72 | University Elective Basket of B.Tech. CSE - 2021 | INC1003 | Juniper Networks - Introduction to Junos Platform Automation and DevOps | PJT | 2.0 |
| 73 | University Elective Basket of B.Tech. CSE - 2021 | INC1004 | Juniper Networks - Juniper Cloud Fundamentals | PJT | 2.0 |
| 74 | University Elective Basket of B.Tech. CSE - 2021 | INC1005 | Juniper Networks - Juniper Networks Design Fundamentals | PJT | 2.0 |
| 75 | University Elective Basket of B.Tech. CSE - 2021 | INC1006 | Juniper Networks - Juniper's Mist AI Networks | PJT | 2.0 |
| 76 | University Elective Basket of B.Tech. CSE - 2021 | INC1007 | Entuple - Synthesis and Static Timing Analysis | PJT | 2.0 |
| 77 | University Elective Basket of B.Tech. CSE - 2021 | INC1008 | Entuple - Physical Design | PJT | 2.0 |
| 78 | University Elective Basket of B.Tech. CSE - 2021 | INC1009 | GoDaddy Academy - Web Development | PJT | 2.0 |
| 79 | University Elective Basket of B.Tech. CSE - 2021 | INC1010 | Smart Bridge - Internet of Things | PJT | 2.0 |
| 80 | University Elective Basket of B.Tech. CSE - 2021 | INC1011 | Pharma Genie - Life Sciences Sector Skill Development Council | PJT | 2.0 |
